Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
MB.0362	0.0479564348841754	0	0.00339257833630882	0.0945037631406182	0	0.026400673221646	0	0.0730632329093883	0	0	0	0.0685196848932305	0.030375946670606	0	0.0283296567991548	0.234082078149928	0	0	0.273923768182265	0.111087907889437	0	0.00836427492324185	0.054	0.162607680490837	1.04373968963154
MB.0346	0	0.0130830512876149	0.00882473371509416	0	0	0.128966113491137	0.0201374759714213	0.0878756478956049	0	0	0.0109870933520646	0.00773521534942296	0.0496011430665799	0.217004101729491	0.0767700535677845	0.281805085987984	0	0.0429784047210304	0.0497096430503306	0	0	0.00452223681443992	0.25	0.0554097979381735	1.07942515423365
MB.0386	0.0644357950385613	0	0.00410629560880591	0.0784556023696372	0	0.0323578396748629	0	0.0678566329801216	0	0.0388911478555838	0	0.0535393524523537	0.00781648209997446	0.143866622887137	0.0554394905770682	0.323461789592254	0	0	0.0415120633774693	0.0882608854861712	0	0	0.206	0.0656640102930581	1.07549663566611
MB.0574	0.0180763416547603	0	0.0009380417701645	0.027008689789866	0	0.079246620196494	0	0.0438730510530694	0.025042751086202	0.0176604359351465	0	0.0112740869046847	0	0.206068432335617	0.0423695900346577	0.341704657397984	0	0	0.181962338439249	0.00477496340210466	0	0	0.132	0.0961005799364534	1.06696530636723
MB.0185	0.0538970812425588	0	0.0631723825242112	0.0828124971799792	0	0	0.00896737124182944	0.114170153924275	0.0356111674362171	0.078048202771507	0	0.0418234862786746	0	0.209032002660325	0.138353967760557	0.117080995155593	0	0	0.0178741175993498	0.027408887927751	0	0.0117476862971725	0.084	0.122344093468708	1.04764541847074
MB.0503	0.0094951808360887	0.0242836889378333	0.0175286360738577	0.0600842302711428	0	0.113470959051758	0	0.0863408160669362	0	0.0612244388281943	0	0.0214020278096179	0.00872452028532688	0.100613895224744	0.114352859845126	0.180640076221579	0	0	0.106007297169346	0.0958313733784493	0	0	0.18	0.0777539989223107	1.06279324351258
MB.0641	0.0341327712822101	0.0362538893661169	0.0045458375127493	0.0629065821158241	0	0.128904681882674	0.0409851954546404	0.062316967043414	0	0.0450483904501817	0	0.0382598087570365	0.059946675292828	0.0259889318605631	0.0202708688805002	0.168754566721584	0	0.0141885717294115	0.257496261650267	0	0	0	0.132	0.096429639019345	1.04394565712552
MB.0201	0.0871314818025606	0	0.0131993795384314	0.0559292219736907	0	0.102579247839874	0	0.0445378561410468	0.0208726850840684	0.011968268771321	0	0.0103736469808945	0.020374919410197	0.167734163611983	0.0396773755664282	0.290251055065679	0	0	0.10088028017508	0.0344904180387462	0	0	0.098	0.112414483176877	1.04471195952033
MB.0218	0.00488679910481044	0.0356402239181097	0.00171338790393247	0.0389833634894798	0	0.028837949119113	0	0.0221148753023092	0.0088632853250844	0	0.0170044306603305	0.0461498889269448	0.0377682706686684	0.242646239955962	0.00930591607347452	0.269025746865419	0	0	0.206212293019596	0.0308473296667656	0	0	0.152	0.0884666178861504	1.07606013743433
MB.0316	0	0.0537586035465814	0.125094320070355	0.11460042792876	0	0	0.0361641425153221	0.0990294447459586	0.0307389258959101	0.0867147681248652	0	0.0587326902522995	0	0.170807278132501	0.135684675811423	0.0482885659102866	0	0	0.0403861570657375	0	0	0	0.0580000000000001	0.156193956017813	1.03179581963993
