term_id	term_name	adjusted_p_val
REAC:R-HSA-112310	Neurotransmitter release cycle	0.00325573243513672
REAC:R-HSA-112316	Neuronal System	0.00872464050673308
REAC:R-HSA-1280215	Cytokine Signaling in Immune system	0.00966052554938635
REAC:R-HSA-196807	Nicotinate metabolism	0.00623057357425749
REAC:R-HSA-212676	Dopamine Neurotransmitter Release Cycle	0.00092373852687021
REAC:R-HSA-2672351	Stimuli-sensing channels	0.00184242433393526
REAC:R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	0.00092373852687021
REAC:R-HSA-5576891	Cardiac conduction	0.00872464050673308
REAC:R-HSA-6783783	Interleukin-10 signaling	6.86402195989856e-05
REAC:R-HSA-8957275	Post-translational protein phosphorylation	0.000381911791571818
REAC:R-HSA-9031628	NGF-stimulated transcription	0.00115577273018648
REAC:R-HSA-9659379	Sensory processing of sound	0.0096908689370018
REAC:R-HSA-9662360	Sensory processing of sound by inner hair cells of the cochlea	0.00724525259249455
REAC:R-HSA-983712	Ion channel transport	0.00120632522776576
GO:0002250	adaptive immune response	0.00872464050673308
GO:0002269	leukocyte activation involved in inflammatory response	0.0096908689370018
GO:0002275	myeloid cell activation involved in immune response	0.00872464050673308
GO:0002478	antigen processing and presentation of exogenous peptide antigen	0.00872464050673308
GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	0.00837233856710467
GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	0.00654561454816623
GO:0002507	tolerance induction	0.00036117247411332
GO:0002523	leukocyte migration involved in inflammatory response	0.00872464050673308
GO:0002526	acute inflammatory response	0.0068735000488957
GO:0002544	chronic inflammatory response	0.000888004892966364
GO:0002673	regulation of acute inflammatory response	0.00267785679634203
GO:0002675	positive regulation of acute inflammatory response	0.0013348878179305
GO:0002790	peptide secretion	0.00550503646064284
GO:0003085	negative regulation of systemic arterial blood pressure	0.00973732784519968
GO:0006082	organic acid metabolic process	0.00701814589527361
GO:0006775	fat-soluble vitamin metabolic process	0.0068735000488957
GO:0006835	dicarboxylic acid transport	0.00153290270211493
GO:0006836	neurotransmitter transport	6.36141388867195e-05
GO:0006887	exocytosis	0.000956335089563122
GO:0006953	acute-phase response	0.00872464050673308
GO:0007268	chemical synaptic transmission	6.86402195989856e-05
GO:0007269	neurotransmitter secretion	7.10612744456294e-05
GO:0010817	regulation of hormone levels	0.00092373852687021
GO:0014047	glutamate secretion	0.0096908689370018
GO:0015711	organic anion transport	0.00872464050673308
GO:0015800	acidic amino acid transport	0.00441036132080042
GO:0015833	peptide transport	0.0093356453658561
GO:0016079	synaptic vesicle exocytosis	0.00153290270211493
GO:0017156	calcium-ion regulated exocytosis	0.00023110065003817
GO:0017157	regulation of exocytosis	0.0093356453658561
