term_id	METABRIC	TCGA	combined	instruct
REAC:R-HSA-112310	0	0	1	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
REAC:R-HSA-112316	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
REAC:R-HSA-1280215	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
REAC:R-HSA-196807	0	0	1	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
REAC:R-HSA-212676	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
REAC:R-HSA-2672351	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
REAC:R-HSA-381426	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
REAC:R-HSA-5576891	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
REAC:R-HSA-6783783	1	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
REAC:R-HSA-8957275	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
REAC:R-HSA-9031628	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
REAC:R-HSA-9659379	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
REAC:R-HSA-9662360	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
REAC:R-HSA-983712	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0002250	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0002269	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0002275	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
